,type,registration,operator,country,cat,new_date,new_fatalities
14952,BN-2A-8 Islander,N37MN,Munz Northern Airlines,USA,A1,1983-04-07,2
14953,Antonov An-26,CCCP-26686,"Aeroflot, Belarus",Belarus,A1,1983-04-12,0
14954,Learjet 24D,N302EJ,Executive Jet Aviation,Mexico,A1,1983-04-14,0
14955,Boeing 727-2F2,TC-JBG,THY,Greece,H2,1983-04-15,0
14956,BAe BAe-748-329 Srs. 2A LFD,EL-AIH,Air Liberia,Sudan,A1,1983-04-16,17
14957,Fairchild C-119 Flying Boxcar,3182,Republic of China AF,Unknown country,U1,1983-04-18,6
14958,Yakovlev Yak-40,CCCP-87291,"Aeroflot, Armenia",Armenia,A1,1983-04-19,21
14959,Kawasaki C-1,68-1015,JASDF,Japan,A1,1983-04-19,6
14960,Kawasaki C-1,58-1009,JASDF,Japan,A1,1983-04-19,8
14961,DHC-6 Twin Otter 310,G-STUD,Air Ecosse,U.K.,A1,1983-04-20,0
14962,Cessna 500 Citation I,N22FM,Federal Mogul Corp.,USA,A1,1983-04-26,0
14963,BN-2A-9 Islander,HK-2687X,Aviones Ejecutivos,Colombia,A1,1983-04-26,0
14964,Shin Meiwa PS-1,5801,Japanese Navy,Japan,A1,1983-04-26,11
14965,SE-210 Caravelle VI-R,HC-BAT,SAN,Ecuador,A1,1983-04-29,8
14966,BN-2A-21 Islander,PK-OBE,Airfast Indonesia,Indonesia,A1,1983-04-29,0
14967,Antonov An-2T,CCCP-33093,"Aeroflot, Armenia",Armenia,A1,1983-04-29,0
14968,Convair C-131F (CV-340),141010,US Navy,USA,A1,1983-04-30,14
14969,Antonov An-2R,CCCP-62643,"Aeroflot, Latvia",Latvia,A1,1983-04-30,0
14970,Hawker Siddeley HS-125-1A-522,C-FHLL,Gouvernement du Qu̩bec,Canada,A1,1983-04-01,6
14971,DC-8-63CF,CCCP-L3494,Capitol Airways,Cuba,H2,1983-05-01,0
14972,Douglas C-47B (DC-3),FAC-1126,SATENA,Colombia,A1,1983-05-04,0
14973,Antonov An-2R,CCCP-35637,"Aeroflot, Lithuania",Lithuania,A1,1983-05-04,0
14974,Hawker Siddeley HS-121 Trident 2E,B-296,CAAC,South Korea,H2,1983-05-05,0
14975,Fairchild C-123K Provider,L4K-12/18,Thai AF,Thailand,A1,1983-05-05,30
14976,Lockheed L-1011 TriStar 1,N334EA,Eastern Air Lines,USA,A2,1983-05-05,0
14977,Antonov An-26,1,Soviet AF,Russia,A1,1983-05-06,33
14978,Fairchild C-119F Flying Boxcar,N13626,Supra Int.,USA,A1,1983-05-08,0
14979,Antonov An-2TP,CCCP-02515,"Aeroflot, Tajikistan",Tajikistan,A1,1983-05-09,0
14980,Convair CV-880,N880SR,Groth Air,Mexico,O1,1983-05-11,6
14981,Antonov An-2R,CCCP-70057,"Aeroflot, Kazakstan",Russia,A1,1983-05-11,0
14982,DC-8-63CF,N1276P,Capitol Airways,Cuba,H2,1983-05-12,0
14983,DHC-6 Twin Otter 100,C-FVTL,Simpson Air,Canada,O1,1983-05-14,0
14984,UC-1A Otter (DHC-3),-,private,Canada,O1,1983-05-14,0
14985,Antonov An-2R,CCCP-02877,"Aeroflot, West Siberia",Russia,A1,1983-05-15,0
14986,Lockheed P-3B Orion,152733,US Navy,USA,A1,1983-05-17,0
14987,Learjet 25B,D-CDPD,Air Traffic Executive Jet,Atlantic Ocean,A1,1983-05-18,3
14988,BN-2 Islander,D-IOLT,FLN,Germany,U1,1983-05-18,6
14989,Boeing 727,CF-CRV,Eastern Air Lines,Cuba,H2,1983-05-19,0
14990,Shorts 330-100,N935MA,Metro Airlines,USA,O1,1983-05-20,0
14991,Antonov An-2R,CCCP-62626,"Aeroflot, North Kavkaz",Russia,A1,1983-05-25,0
14992,Antonov An-26,T-202,Angolan AF,Angola,A1,1983-05-29,0
14993,Boeing 720-023B,OD-AFO,MEA,Lebanon,O1,1983-06-01,0
14994,Fokker F-28 Fellowship 3000RC,PK-GFV,Garuda,Indonesia,A1,1983-06-02,3
14995,DC-9-32,C-FTLU,Air Canada,USA,A1,1983-06-02,23
14996,DC-10-30,PH-DTE,KLM,Panama,A2,1983-06-03,0
14997,Fairchild C-119G Flying Boxcar,3197,Republic of China AF,Taiwan,A1,1983-06-06,38
14998,DHC-4A Caribou,M-933,Indian AF,India,A1,1983-06-08,3
14999,Douglas VC-54Q (DC-4),CP-1404,Frigorifico Reyes,Bolivia,A1,1983-06-08,5
15000,Lockheed L-188C Electra,N1968R,Reeve Aleutian Airways,USA,A2,1983-06-08,0
15001,Lockheed L-100-20 Hercules,FAP-383,Peruvian AF,Peru,A1,1983-06-09,9
15002,Boeing 727-222A,N7273U,United Airlines,USA,A2,1983-06-11,0
15003,Airbus A300B4,RA-17771,Eastern Air Lines,Cuba,H2,1983-06-14,0
15004,Antonov An-8,CCCP-69336,MOM/Kirov,Ukraine,A1,1983-06-15,0
15005,Lockheed P-3B Orion,152720,US Navy,USA,A1,1983-06-16,14
15006,Tupolev Tu-134A,CCCP-65657,"Aeroflot, Armenia",Georgia,A1,1983-06-17,0
15007,DHC-6 Twin Otter 300,TZ-ACH,Air Mali,Mali,A1,1983-06-21,7
15008,Douglas C-47A (DC-3),C-GUBT,Skycraft Air Transport,Canada,A1,1983-06-22,2
15009,Boeing 707-300,43-49116,Libyan Arab Airlines,Cyprus,H2,1983-06-22,0
15010,Lockheed 18 Learstar I,N333FB,Falcon Leasing Corp.,USA,A1,1983-06-23,2
15011,DC-9-32,XA-JEB,Aerom̩xico,Mexico,H2,1983-06-24,0
15012,Douglas C-47A (DC-3),N95460,Air North,USA,A1,1983-06-24,0
15013,Antonov An-24RV,BNMAU-8401,MIAT,Mongolia,A1,1983-06-25,0
15014,Lockheed C-130H Hercules,74-2068,USAF,USA,A1,1983-06-28,6
15015,CASA C-212 Aviocar 200,YN-BYZ,Aeronica,Nicaragua,A1,1983-06-29,0
15016,Douglas C-54G (DC-4),N300JT,Pacific Air Express,USA,A1,1983-06-29,0
15017,Yakovlev Yak-40,CCCP-87808,"Aeroflot, Kyrgyzstan",Kyrgyzstan,A1,1983-06-29,0
15018,Hawker Siddeley HS-125-1A-522,N125E,Erasmus Inc,USA,A1,1983-06-29,0
15019,Ilyushin Il-62M,889,Chosonminhang,Guinea,A1,1983-07-01,23
15020,Douglas C-47 (DC-3),141329,Unknown,Bahamas,A1,1983-07-01,2
15021,SE-210 Caravelle III,F-BHRS,Altair,Italy,A1,1983-07-02,0
15022,Boeing 727,N461PA,Pan Am,Cuba,H2,1983-07-02,0
15023,Antonov An-12,W6075,Soviet AF,Afghanistan,C1,1983-07-02,5
